LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Поршнев;b58/12.jpg;Андрей;Степанович;финансовый директор;a.porshnev@example.com;12.01.1973;M;235-35-12;23;453-23-14;124-742-112;a.porshnev;Московский филиал;Дирекция;;
Твердохлебова;fff/13.jpg;Виктория;Вадимовна;коммерческий директор;v.tverdohlebova@example.com;13.01.1980;F;345-43-24;12;234-43-52;234-876;v.tverdohlebova;Московский филиал;Дирекция;;
Тихомиров;66e/14.jpg;Данила;Вячеславович;технический директор;d.tihomirov@example.com;14.01.1965;M;235-76-53;45;234-76-48;453-663-128;d.tihomirov;Московский филиал;Дирекция;;
Уварова;a19/15.jpg;Дарья;Витальевна;исполнительный директор;d.uvarova@example.com;15.01.1983;F;634-66-62;9;354-64-32;546-235-634;d.uvarova;Московский филиал;Дирекция;;
Часовщиков;38a/16.jpg;Юрий;Анатолиевич;Юрист;yu.chasovschikov@example.com;16.01.1979;M;435-55-24;88;345-22-67;234-765;yu.chasovschikov;Московский филиал;Юридический отдел;;
Янина;c6c/17.jpg;Марина;Вячеславовна;Юрист;m.yanina@example.com;17.01.1983;M;546-57-34;89;354-67-72;456-123-863;m.yanina;Московский филиал;Юридический отдел;;
Бибикова;a59/18.jpg;Зинаида;Даниловна;Юрист;z.bibikova@example.com;18.01.1979;F;346-32-34;33;456-82-34;456-765-932;z.bibikova;Московский филиал;Юридический отдел;;
Галимов;d5c/20.jpg;Егор;Григориевич;менеджер;e.galimov@example.com;19.01.1975;M;546-56-23;91;345-76-12;435-965-572;e.galimov;Московский филиал;Аналитический отдел;;
Дорохов;3c9/25.jpg;Алексей;Николаевич;инженер;a.dorohov@example.com;20.01.1981;M;435-67-34;34;345-65-54;855-345;a.dorohov;Московский филиал;Аналитический отдел;;
Бузунова;1cf/19.jpg;Полина;Степанова;менеджер;p.buzunova@example.com;21.01.1978;F;345-67-35;84;325-65-45;344-456;p.buzunova;Московский филиал;Аналитический отдел;;
Аношкин;2da/24.jpg;Геннадий;Андреевич;менеджер;g.anoshkin@example.com;22.01.1976;M;123-54-12;42;234-65-63;234-655-754;g.anoshkin;Московский филиал;Аналитический отдел;;
Астафьев;078/23.jpg;Ефим;Виталиевич;аналитик;e.astafev@example.com;23.01.1969;M;356-56-32;31;234-67-31;325-652-363;e.astafev;Московский филиал;Аналитический отдел;;
Ворошилов;542/73607895.gif;Аркадий;Александрович;аналитик;a.voroshilov@example.com;24.01.1982;M;234-65-32;11;345-87-45;413-225-833;a.voroshilov;Московский филиал;Аналитический отдел;;
Егин;588/21.jpg;Евгений;Вадимович;менеджер;e.egin@example.com;25.01.1973;M;856-45-21;5;234-65-12;123-231-123;e.egin;Московский филиал;Аналитический отдел;;
Елпидин;f20/26.jpg;Иван;Викторович;менеджер;i.elpidin@example.com;26.01.1977;M;222-33-55;1;123-55-65;243-456-987;i.elpidin;Московский филиал;Департамент по работе с клиентами;Call centre;
Селин;974/27.jpg;Александр;Станиславович;менеджер;a.selin@example.com;27.01.1982;M;333-44-11;2;341-43-52;456-765;a.selin;Московский филиал;Департамент по работе с клиентами;Call centre;
Щукин;6df/28.jpg;Илья;Константинович;менеджер;i.schukin@example.com;28.01.1986;M;333-44-22;3;345-75-12;394-232-195;i.schukin;Московский филиал;Департамент по работе с клиентами;Call centre;
Ящуков;e3f/42-17475932.gif;Павел;Виталиевич;менеджер;p.yaschukov@example.com;30.01.1973;M;364-23-14;7;345-67-32;345-234-987;p.yaschukov;Московский филиал;Департамент по работе с клиентами;Call centre;
Шестиперова;b8f/woman3_big.jpg;София;Тихоновна;менеджер;s.shestiperova@example.com;31.01.1977;F;856-34-56;123;573-56-78;674-865-456;s.shestiperova;Московский филиал;Департамент по работе с клиентами;Call centre;
Трефолев;efb/42-17395771.gif;Николай;Николаевич;менеджер;n.trefolev@example.com;01.02.1981;M;345-22-34;125;325-65-87;434-556;n.trefolev;Московский филиал;Департамент по работе с клиентами;Call centre;
Охохонин;24a/m12_big.jpg;Георгий;Аркадиевич;менеджер;g.ohohonin@example.com;02.02.1970;M;453-67-32;876;668-53-87;456-768-900;g.ohohonin;Московский филиал;Департамент по работе с клиентами;Call centre;
Недозевин;1bd/m13_big.jpg;Руслан;Львович;менеджер;r.nedozevin@example.com;03.02.1985;M;345-67-88;87;567-65-66;234-987-786;r.nedozevin;Московский филиал;Департамент по работе с клиентами;Call centre;
Илларионов;d0f/42-18113577.gif;Матвей;Геннадиевич;менеджер;m.illarionov@example.com;04.02.1988;M;334-44-22;85;453-66-87;456-65-34;m.illarionov;Московский филиал;Департамент по работе с клиентами;Call centre;
Карамышева;554/woman2_big.jpg;Дарья;Ярославовна;менеджер;d.karamysheva@example.com;05.02.1987;F;444-45-34;343;345-33-12;345-936-544;d.karamysheva;Московский филиал;Департамент по работе с клиентами;Call centre;
Загудалов;159/42-17224259.gif;Василий;Станиславович;менеджер;v.zagudalov@example.com;06.02.1986;M;564-56-34;234;346-65-54;564-768-776;v.zagudalov;Московский филиал;Департамент по работе с клиентами;Call centre;
Савоськина;33c/42-17830889.gif;Екатерина;Василиевна;менеджер;e.savoskina@example.com;07.02.1986;F;454-33-42;121;345-65-43;343-454-223;e.savoskina;Московский филиал;Департамент по работе с клиентами;Call centre;
Абрамов;5a4/m10_big.jpg;Константин;Юрьевич;менеджер;k.abramov@example.com;01.02.1976;M;123-45-67;12;456-56-89;546-235-612;k.abramov;Петербургский филиал;Администрация;;
Адрова;096/w10_big.jpg;Светлана;Александровна;менеджер;s.adrova@example.com;02.02.1978;F;324-56-89;14;343-65-89;678-678-234;s.adrova;Петербургский филиал;Администрация;;
Азнаурян;5ec/m11_big.jpg;Никита;Акопович;администратор;n.aznauryan@example.com;03.02.1975;M;123-67-78;16;657-89-23;355-567-678;n.aznauryan;Петербургский филиал;Администрация;;
Айткулов;f45/42-18249127.gif;Руслан;Медихатович;аналитик;r.ajtkulov@example.com;04.02.1974;M;124-67-78;12;456-27-98;456-789-456;r.ajtkulov;Петербургский филиал;Отдел развития;Аналитический отдел;
Анваер;9c8/42-18113578.gif;Евгений;Евгеньевич;аналитик;e.anvaer@example.com;05.02.1975;M;457-67-89;34;678-78-78;567-344-899;e.anvaer;Петербургский филиал;Отдел развития;Аналитический отдел;
Андреев;b0d/m14_big.jpg;Алексей;Валерьевич;аналитик;a.andreev@example.com;06.02.1976;M;244-56-98;21;567-87-43;456-776-432;a.andreev;Петербургский филиал;Отдел развития;Аналитический отдел;
Андреева;ce5/w11_big.jpg;Алла;Александровна;аналитик;a.andreeva@example.com;07.02.1980;F;456-23-57;54;456-78-21;567-789-324;a.andreeva;Петербургский филиал;Отдел развития;Аналитический отдел;
Анисимов;de7/m15_big.jpg;Владимир;Юрьевич;аналитик;v.anisimov@example.com;08.02.1976;M;345-56-75;24;567-88-89;456-788-342;v.anisimov;Петербургский филиал;Отдел развития;Аналитический отдел;
Барбараш;bce/w12_big.jpg;Марина;Борисовна;аналитик;m.barbarash@example.com;09.02.1976;F;345-67-78;56;567-67-79;458-448-638;m.barbarash;Петербургский филиал;Отдел развития;Аналитический отдел;
Белоконь;82c/w13_big.jpg;Наталья;Игоревна;администратор;n.belokon@example.com;10.02.1981;F;567-67-78;34;456-57-78;568-788-556;n.belokon;Петербургский филиал;Отдел развития;Аналитический отдел;
Артемчук;5fc/16b.jpg;Игорь;Александрович;координатор;i.artemchuk@example.com;11.02.1972;M;433-55-58;45;455-67-77;356-565-788;i.artemchuk;Петербургский филиал;Отдел развития;Аналитический отдел;
Афанасьев;87d/18b.jpg;Дмитрий;Сергеевич;менеджер по развитию;d.afanasev@example.com;12.02.1969;M;356-57-68;47;451-45-89;456-976-543;d.afanasev;Петербургский филиал;Отдел развития;Отдел стратегического планирования;
Вадатурская;77e/w14_big.jpg;Наталья;Александровна;менеджер по развитию;n.vadaturskaya@example.com;13.02.1981;F;547-67-56;42;413-67-67;423-848-678;n.vadaturskaya;Петербургский филиал;Отдел развития;Отдел стратегического планирования;
Гнездилова;a3e/42-18010718.gif;Надежда;Александровна;менеджер по развитию;n.gnezdilova@example.com;14.02.1975;F;578-56-78;22;452-56-45;135-567-765;n.gnezdilova;Петербургский филиал;Отдел развития;Отдел стратегического планирования;
Баев;44c/m16_big.jpg;Владимир;Валерьевич;эксперт;v.baev@example.com;15.02.1978;M;345-27-67;17;789-45-67;321-678-436;v.baev;Петербургский филиал;Отдел развития;Экспертный отдел;
Бибиков;1cf/42-17503976.gif;Кирилл;Васакович;эксперт;k.bibikov@example.com;16.02.1980;M;233-56-78;76;426-59-89;678-368-356;k.bibikov;Петербургский филиал;Отдел развития;Экспертный отдел;
Дайчик;ad6/w16_big.jpg;Марина;Валерьевна;эксперт;m.dajchik@example.com;17.02.1983;F;875-86-74;53;519-67-98;978-543-345;m.dajchik;Петербургский филиал;Отдел развития;Экспертный отдел;
Болонкин;c9c/m18_big.jpg;Андрей;Владимирович;менеджер;a.bolonkin@example.com;18.02.1980;M;561-56-42;31;429-67-89;623-789-234;a.bolonkin;Петербургский филиал;Отдел информационного обеспечения;;
Борисенко;db6/42-17663773.gif;Григорий;Валерьевич;менеджер;g.borisenko@example.com;19.02.1975;M;678-78-23;59;598-67-54;521-985-378;g.borisenko;Петербургский филиал;Отдел информационного обеспечения;;
Боцула;d8d/m20_big.jpg;Алексей;Андреевич;менеджер;a.bocula@example.com;20.02.1976;M;490-45-27;19;512-67-39;789-345-666;a.bocula;Петербургский филиал;Отдел информационного обеспечения;;
Дегтярева;5e4/42-18086651.gif;Анна;Александровна;менеджер;a.degtyareva@example.com;21.02.1972;F;478-34-67;41;134-89-38;638-567-284;a.degtyareva;Петербургский филиал;Отдел информационного обеспечения;;
Буздин;6e3/24b.jpg;Константин;Викторович;начальник отдела;k.buzdin@example.com;22.02.1971;M;432-67-82;71;189-40-29;230-789-386;k.buzdin;Петербургский филиал;Отдел информационного обеспечения;;
Жукова;52a/42-17703087.gif;Ксения;Владимировна;бухгалтер;k.zhukova@example.com;23.02.1974;F;492-56-68;51;549-56-98;438-789-234;k.zhukova;Петербургский филиал;Финансовый отдел;Бухгалтерия;
Ивлева;eb1/w18_big.jpg;Ирина;Ивановна;бухгалтер;i.ivleva@example.com;24.02.1978;F;390-67-43;43;460-78-09;512-784-573;i.ivleva;Петербургский филиал;Финансовый отдел;Бухгалтерия;
Денисова;9c2/w19_big.jpg;Анастасия;Валерьевна;бухгалтер;a.denisova@example.com;25.02.1980;F;646-67-55;44;648-46-23;451-563-398;a.denisova;Петербургский филиал;Финансовый отдел;Бухгалтерия;
Илларионова;3b7/72727403.gif;Людмила;Владимировна;бухгалтер;l.illarionova@example.com;26.02.1976;F;630-76-65;85;401-67-83;410-534-937;l.illarionova;Петербургский филиал;Финансовый отдел;Бухгалтерия;
Бурков;1a1/22b.jpg;Александр;Сергеевич;начальник отдела;a.burkov@example.com;27.02.1976;M;341-56-46;67;734-68-78;766-467-436;a.burkov;Петербургский филиал;Финансовый отдел;Бухгалтерия;
Бутвина;3b3/42-17764926.gif;Алексей;Моисеевич;менеджер;a.butvina@example.com;28.02.1976;M;619-65-33;55;402-34-23;322-540-329;a.butvina;Петербургский филиал;Финансовый отдел;Отдел финансового планирования;
Бухтояров;cc6/42-17676311.gif;Виктор;Евгеньевич;менеджер;v.buhtoyarov@example.com;01.03.1977;M;309-56-85;63;465-35-71;429-678-827;v.buhtoyarov;Петербургский филиал;Финансовый отдел;Отдел финансового планирования;
Бушнев;c12/m23_big.jpg;Александр;Владимирович;начальник отдела;a.bushnev@example.com;02.03.1972;M;987-84-65;81;501-67-85;490-438-782;a.bushnev;Петербургский филиал;Финансовый отдел;Отдел финансового планирования;
Вязовецкий;baa/m24_big.jpg;Петр;Юрьевич;менеджер;p.vyazoveckij@example.com;03.03.1975;M;789-37-31;52;439-31-28;336-156-989;p.vyazoveckij;Петербургский филиал;Финансовый отдел;Отдел финансового планирования;
Герасев;e1f/m25_big.jpg;Александр;Витальевич;сотрудник call center;a.gerasev@example.com;04.03.1980;M;403-43-67;46;403-48-73;561-680-421;a.gerasev;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Казинова;53f/42-17923978.gif;Ольга;Александровна;сотрудник call center;o.kazinova@example.com;05.03.1982;F;404-85-34;47;502-45-67;467-765-356;o.kazinova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Герасюк;ada/man2_big.jpg;Алексей;Алексевич;специалист;a.gerasyuk@example.com;06.03.1981;M;423-57-62;10;516-67-54;356-249-628;a.gerasyuk;Петербургский филиал;Отдел по работе с клиентами;Отдел клиентской поддержки;
Грищенко;792/man3_big.jpg;Андрей;Вячеславович;специалист;a.grischenko@example.com;07.03.1982;M;387-21-73;23;368-23-78;304-679-850;a.grischenko;Петербургский филиал;Отдел по работе с клиентами;Отдел клиентской поддержки;
Давыдов;7ed/42-17655097.gif;Алексей;Юрьевич;маркетолог;a.davydov@example.com;08.03.1974;M;567-23-68;57;570-57-57;614-858-589;a.davydov;Петербургский филиал;Отдел маркетинга;Отдел Public Relation;
Шамшурина;096/42-17621060.gif;Людмила;Львовна;менеджер;l.shamshurina@example.com;07.02.1984;F;453-56-34;345;345-67-45;253-345-353;l.shamshurina;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Ярошенко;f64/42-18099963.gif;Геннадий;Сергеевич;менеджер;g.yaroshenko@example.com;08.02.1985;M;670-23-86;34;563-87-76;455-342;g.yaroshenko;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Дайчик;b84/2b.jpg;Сергей;Львович;маркетолог;s.dajchik@example.com;09.03.1978;M;624-67-68;72;312-87-87;912-873-968;s.dajchik;Петербургский филиал;Отдел маркетинга;Отдел Public Relation;
Теплова;bcb/w15_big.jpg;Ксения;Дмитриевна;менеджер;k.teplova@example.com;09.02.1978;F;434-45-67;37;454-77-54;564-769-324;k.teplova;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Согрин;2c8/m17_big.jpg;Данила;Виталиевич;менеджер;d.sogrin@example.com;10.02.1978;M;546-78-12;11;546-66-78;564-657-543;d.sogrin;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Дедков;99f/3b.jpg;Дмитрий;Анатольевич;маркетолог;d.dedkov@example.com;10.03.1975;M;912-67-29;11;410-62-09;318-469-396;d.dedkov;Петербургский филиал;Отдел маркетинга;Отдел Public Relation;
Рахманинов;164/42-17884084.gif;Игорь;Георгиевич;менеджер;i.rahmaninov@example.com;11.02.1968;M;564-11-21;15;967-26-56;564-450-556;i.rahmaninov;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Касьяненко;75d/1b.jpg;Юлия;Ивановна;маркетолог;yu.kasyanenko@example.com;11.03.1980;F;401-78-73;82;290-56-29;104-982-486;yu.kasyanenko;Петербургский филиал;Отдел маркетинга;Отдел Public Relation;
Недокучаев;5b8/42-17924856.gif;Тихон;Петрович;менеджер;t.nedokuchaev@example.com;12.02.1983;M;435-68-56;16;767-32-43;675-345-233;t.nedokuchaev;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Демьянов;030/19b.jpg;Егор;Александрович;маркетолог;e.demyanov@example.com;12.03.1976;M;732-56-30;90;865-25-76;610-750-539;e.demyanov;Петербургский филиал;Отдел маркетинга;Отдел Public Relation;
Карпухина;ef2/42-17751561.gif;Ксения;Валериевна;менеджер;k.karpuhina@example.com;13.02.1979;F;564-65-34;23;546-45-45;453-566-453;k.karpuhina;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Абрамцев;012/42-17942495.gif;Александр;Николаевич;менеджер;a.abramcev@example.com;14.02.1976;M;453-77-66;453;879-54-38;345-234-112;a.abramcev;Московский филиал;Департамент по работе с клиентами;Отдел клиентской поддержки;
Вереитинов;3d6/m21_big.jpg;Кирилл;Леонидович;менеджер;k.vereitinov@example.com;15.02.1982;M;435-67-45;76;675-46-23;342-567-234;k.vereitinov;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Дерябин;e4f/m22_big.jpg;Игорь;Вячеславович;менеджер;i.deryabin@example.com;16.02.1981;M;856-24-34;39;543-87-32;;i.deryabin;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Дубровский;981/man5b.jpg;Алексей;Дмитриевич;менеджер по рекламе;a.dubrovskij@example.com;13.03.1979;M;405-63-75;58;731-67-96;472-523-965;a.dubrovskij;Петербургский филиал;Отдел маркетинга;Отдел рекламы;
Петрушенкова;18b/42-17933622.gif;Евгения;Борисовна;менеджер;e.petrushenkova@example.com;17.02.1983;F;564-66-23;623;945-25-45;;e.petrushenkova;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Жериков;a3c/42-17611981.gif;Андрей;Валерьевич;менеджер по рекламе;a.zherikov@example.com;14.03.1976;M;310-94-68;25;958-98-04;471-686-464;a.zherikov;Петербургский филиал;Отдел маркетинга;Отдел рекламы;
Пупышев;2bb/42-17949408.gif;Василий;Алексеевич;менеджер;v.pupyshev@example.com;18.02.1987;M;342-65-56;27;342-65-87;342-546-876;v.pupyshev;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Коняхина;aaf/4b.jpg;Светлана;Евгеньевна;менеджер по рекламе;s.konyahina@example.com;15.03.1974;F;812-67-04;26;623-87-48;404-792-334;s.konyahina;Петербургский филиал;Отдел маркетинга;Отдел рекламы;
Звенков;2bf/7b.jpg;Дмитрий;Сергеевич;менеджер по рекламе;d.zvenkov@example.com;16.03.1961;M;938-34-73;73;504-55-66;870-357-295;d.zvenkov;Петербургский филиал;Отдел маркетинга;Отдел рекламы;
Таловеров;e39/man3_big.jpg;Тимофей;Тимофеевич;менеджер;t.taloverov@example.com;19.02.1981;M;345-74-23;765;346-32-12;234-565-122;t.taloverov;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Корнева;d4b/3b.jpg;Виктория;Андреевна;менеджер по рекламе;v.korneva@example.com;17.03.1969;F;946-89-78;74;643-78-34;358-743-678;v.korneva;Петербургский филиал;Отдел маркетинга;Отдел рекламы;
Иванов;f17/8b.jpg;Кирилл;Владимирович;юрист;k.ivanov@example.com;18.03.1965;M;721-87-43;91;853-78-37;656-664-389;k.ivanov;Петербургский филиал;Юридический отдел;;
Каплун;d6f/9b.jpg;Арсений;Борисович;юрист;a.kaplun@example.com;19.03.1963;M;406-74-29;61;659-45-83;845-447-386;a.kaplun;Петербургский филиал;Юридический отдел;;
Карцев;987/10b.jpg;Константин;Александрович;юрист;k.karcev@example.com;20.03.1965;M;679-49-20;75;611-85-84;436-520-561;k.karcev;Петербургский филиал;Юридический отдел;;
Качалин;9e5/11b.jpg;Алексей;Игоревич;юрист;a.kachalin@example.com;21.03.1973;M;902-67-93;62;731-67-67;421-378-530;a.kachalin;Петербургский филиал;Юридический отдел;;
Китов;10b/12b.jpg;Виктор;Владимирович;юрист-консультант;v.kitov@example.com;22.03.1978;M;368-46-75;64;359-47-86;432-448-287;v.kitov;Петербургский филиал;Юридический отдел;;
Щекотуров;2c4/man_big.jpg;Дмитрий;Дмитриевич;менеджер;d.schekoturov@example.com;20.02.1982;M;456-23-76;38;567-32-43;564-234-898;d.schekoturov;Московский филиал;Департамент по работе с клиентами;Расчетно-сервисный центр;
Клинов;198/13b.jpg;Максим;Сергеевич;охранник;m.klinov@example.com;23.03.1976;M;644-65-38;77;459-65-34;437-548-826;m.klinov;Петербургский филиал;Отдел службы безопасности;;
Ключников;b05/14b.jpg;Вячеслав;Олегович;охранник;v.klyuchnikov@example.com;24.03.1975;M;701-76-23;83;499-38-54;598-322-329;v.klyuchnikov;Петербургский филиал;Отдел службы безопасности;;
Кобиашвили;132/17b.jpg;Иосиф;Рафаэльевич;охранник;i.kobiashvili@example.com;25.03.1979;M;305-58-93;84;568-26-28;393-398-095;i.kobiashvili;Петербургский филиал;Отдел службы безопасности;;
Ковалев;925/15b.jpg;Юрий;Александрович;охранник;yu.kovalev@example.com;26.03.1979;M;958-86-62;78;743-76-33;653-653-157;yu.kovalev;Петербургский филиал;Отдел службы безопасности;;
Кондратьев;0a1/20b.jpg;Владимир;Ярославович;директор;v.kondratev@example.com;27.03.1967;M;533-54-28;1;543-83-53;657-652-422;v.kondratev;Петербургский филиал;Администрация;;
Корниенко;51c/23b.jpg;Михаил;Юрьевич;заместитель директора;m.kornienko@example.com;28.03.1963;M;632-56-28;2;432-93-85;432-854-748;m.kornienko;Петербургский филиал;Администрация;;
Коробкова;71d/5b.jpg;Светлана;Викторовна;менеджер по развитию;s.korobkova@example.com;29.03.1979;F;429-98-82;79;536-65-34;456-943-933;s.korobkova;Петербургский филиал;Отдел развития;Отдел стратегического планирования;
Кулешова;ef1/9b.jpg;Мария;Игоревна;менеджер по развитию;m.kuleshova@example.com;30.03.1980;F;843-96-32;49;633-58-54;455-437-765;m.kuleshova;Петербургский филиал;Отдел развития;Отдел стратегического планирования;
Максимова;d8c/11b.jpg;Елена;Васильевна;эксперт;e.maksimova@example.com;01.04.1983;F;532-28-83;86;235-68-09;235-736-195;e.maksimova;Петербургский филиал;Отдел развития;Экспертный отдел;
Маравина;def/10b.jpg;Татьяна;Александровна;начальник отдела;t.maravina@example.com;02.04.1960;F;320-34-28;93;367-93-93;304-679-851;t.maravina;Петербургский филиал;Отдел развития;Экспертный отдел;
Матвиенко;bfe/12b.jpg;Екатерина;Андреевна;менеджер;e.matvienko@example.com;03.04.1976;F;433-99-93;87;389-23-75;524-855-876;e.matvienko;Петербургский филиал;Отдел информационного обеспечения;;
Матусевич;784/17b.jpg;Ольга;Викторовна;менеджер;o.matusevich@example.com;04.04.1976;F;328-98-73;95;366-75-54;646-574-744;o.matusevich;Петербургский филиал;Отдел информационного обеспечения;;
Медведева;141/22b.jpg;Мария;Юрьевна;менеджер;m.medvedeva@example.com;05.04.1976;F;239-98-95;88;345-54-60;363-878-267;m.medvedeva;Петербургский филиал;Отдел информационного обеспечения;;
Меньшикова;f3d/13b.jpg;Анна;Владимировна;менеджер;a.menshikova@example.com;06.04.1962;F;345-53-54;65;256-57-77;435-865-467;a.menshikova;Петербургский филиал;Отдел информационного обеспечения;;
Моргунова;f36/14b.jpg;Инна;Юрьевна;менеджер;i.morgunova@example.com;07.04.1969;F;267-86-33;27;346-78-77;648-685-124;i.morgunova;Петербургский филиал;Отдел информационного обеспечения;;
Мусатова;7fe/15b.jpg;Елена;Игоревна;менеджер;e.musatova@example.com;08.04.1975;F;432-66-89;94;463-97-77;765-690-866;e.musatova;Петербургский филиал;Финансовый отдел;Отдел финансового планирования;
Парамонова;de6/16b.jpg;Дарья;Александровна;сотрудник call center;d.paramonova@example.com;09.04.1972;F;456-54-53;48;256-76-66;235-853-754;d.paramonova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Харькова;ba7/18b.jpg;Ирина;Ивановна;сотрудник call center;i.harkova@example.com;10.04.1980;F;566-54-44;87;467-85-64;432-167-398;i.harkova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Царева;958/19b.jpg;Евгения;Александровна;сотрудник call center;e.careva@example.com;11.04.1980;F;580-98-76;89;647-48-44;754-559-965;e.careva;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Шарова;d81/20b.jpg;Мария;Сергеевна;сотрудник call center;m.sharova@example.com;12.04.1981;F;135-55-83;96;347-52-62;439-391-911;m.sharova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Шевцова;f57/21lb.jpg;Ирина;Геннадьевна;сотрудник call center;i.shevcova@example.com;13.10.1980;F;156-844-588;566;146-65-44;526-522-239;i.shevcova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Шкалева;257/22b.jpg;Екатерина;Сергеевна;сотрудник call center;e.shkaleva@example.com;14.04.1980;F;984-87-98;125;269-84-53;366-844-743;e.shkaleva;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Степанова;6d7/23b.jpg;Марина;Алексеевна;специалист;m.stepanova@example.com;15.04.1980;F;873-89-49;679;230-96-69;429-289-296;m.stepanova;Петербургский филиал;Отдел по работе с клиентами;Call centre;
Титова;e20/24b.jpg;Екатирина;Львовна;специалист;e.titova@example.com;16.04.1980;F;267-72-16;759;451-45-90;256-448-444;e.titova;Петербургский филиал;Отдел по работе с клиентами;Отдел клиентской поддержки;
Укладова;188/25b.jpg;Александра;Владимировна;специалист;a.ukladova@example.com;17.04.1982;F;566-54-67;950;426-87-89;426-673-633;a.ukladova;Петербургский филиал;Отдел по работе с клиентами;Отдел клиентской поддержки;
